Tier,Priority Bucket,Rank,Company,Focus,Role Family,SWE Fit (1-5),AI/ML Fit (1-5),Referral Likelihood (1-5),Comp Upside (1-5),Hiring Bar Realism (1-5),Weighted Priority Score,Resume Variant,Application Strategy,Status,Notes,Job URL,Date Found,Date Applied,Follow-up Date,Contact Name
Tier 1,A,1,Databricks,Data/AI infra,Backend/AI Infra,5,5,4,5,4,4.70,B,Custom apply + referral,Not Applied,,https://www.databricks.com/company/careers/open-positions,,,,
Tier 1,A,2,Microsoft (Azure AI / Foundry / Data / Copilot),Cloud + AI platform,Backend/AI Infra,5,5,5,4,5,4.85,B,Leverage intern network first,Not Applied,,https://careers.microsoft.com/students/us/en/,,,,
Tier 1,A,3,NVIDIA,AI infra / inference / systems,ML Systems,4,5,3,5,4,4.25,A,Custom apply + systems-heavy story,Not Applied,,https://www.nvidia.com/en-us/about-nvidia/careers/,,,,
Tier 1,B,4,Google DeepMind,Frontier AI / research engineering,AI Systems,4,5,2,5,2,3.85,A,Only role-specific apps,Not Applied,,https://deepmind.google/about/careers/,,,,
Tier 1,A,5,Google,Core ML / Gemini / Cloud / infra,Backend/AI Infra,5,5,3,5,3,4.40,B,Apply to Cloud/Gemini/platform teams,Applied,,https://careers.google.com/,,2026-04-25,2026-05-09,
Tier 1,A,6,Meta,GenAI / infra / ranking / backend,Backend/AI Infra,5,5,3,5,3,4.40,B,Apply to infra/GenAI/backend teams,Not Applied,,https://www.metacareers.com/,,,,
Tier 1,A,7,Anthropic,LLM platform / applied AI / infra,AI Systems,4,5,2,5,2,3.85,A,Best-shot package only,Applied,"2026-04-16 found: Full-Stack Software Engineer, Reinforcement Learning. Posting date 2026-04-14 (Greenhouse metadata). Current Greenhouse page shows Apply button; employment type not explicitly labeled on page/API, but this is a standard non-internship staff opening. | 2026-04-17 found: Software Engineer, Research Data Platform. Posting date 2026-04-16 (Greenhouse metadata). Current Greenhouse page shows Apply button; employment type not explicitly labeled on page/API, but this is a standard non-internship staff opening.",https://job-boards.greenhouse.io/anthropic/jobs/5191226008,2026-04-17,,,
Tier 1,A,8,OpenAI,Applied engineering / platform / infra,AI Systems,4,5,2,5,2,3.85,A,Best-shot package only,Not Applied,,https://openai.com/careers,,,,
Tier 1,A,9,Snowflake,Data platform / AI infra,Backend/Data Infra,5,4,3,5,4,4.25,B,Strong data/infra narrative,Not Applied,,https://careers.snowflake.com/,,,,
Tier 1,A,10,Stripe,Infra + product engineering,Backend/Platform,5,3,3,5,4,4.00,B,High-signal backend app,Not Applied,,https://stripe.com/jobs,,,,
Tier 1,A,11,Figure AI,Robotics + embodied AI systems,AI Systems,4,5,2,5,2,3.85,A,Custom role match only,Not Applied,,https://www.figure.ai/careers,,,,
Tier 1,A,12,Amazon (AWS AI / Bedrock / SageMaker / AGI),Cloud + AI infra,Backend/AI Infra,5,5,3,4,4,4.25,B,Focus on Bedrock/SageMaker/AWS AI,Not Applied,,https://www.amazon.jobs/en/teams/aws,,,,
Tier 1,B,13,Apple (ML Platform / Siri / AI infra),Consumer AI systems,Platform/AI Infra,4,4,2,5,3,3.75,A,Target exact teams only,Not Applied,,https://jobs.apple.com/,,,,
Tier 1,A,14,Cloudflare,Edge infra / developer platform / AI,Backend/Infra,5,4,3,4,4,4.10,B,Strong edge + infra fit,Not Applied,,https://www.cloudflare.com/careers/jobs/,,,,
