priority,company,title,role_family,realism,resume_variant,fit,link,source
P1,OpenAI,"Applied AI Engineer, Codex Core Agent",Applied AI / agents,Stretch but coherent,A - AI systems,AI agents + LLM eval/RAG + Microsoft internal AI tooling; one of the cleanest OpenAI applied-engineering matches.,https://jobs.ashbyhq.com/openai/577e6673-0a4a-491b-9a0d-facbdd3bdf3c,OpenAI Ashby API
P1,OpenAI,"Software Engineer, Agent Infrastructure",Agent infrastructure,Stretch but coherent,A - AI systems,Agent infra + long-horizon web/embodied agent research; strong narrative if resume foregrounds agent systems.,https://jobs.ashbyhq.com/openai/c1316397-25bb-4add-9e9d-0e3ea8ba929a,OpenAI Ashby API
P1,Anthropic,"Forward Deployed Engineer, Applied AI",FDE / applied AI,Realistic stretch,A - AI systems,"Best Anthropic fit: enterprise AI deployment, Fabric admin/platform work, HIPAA LLM serving, RAG systems.",https://job-boards.greenhouse.io/anthropic/jobs/4985877008,Anthropic Greenhouse API
P1,Anthropic,Applied AI Engineer,Applied AI,Realistic stretch,A - AI systems,Applied LLM systems + enterprise product delivery; less research-heavy than core RE.,https://job-boards.greenhouse.io/anthropic/jobs/5248983008,Anthropic Greenhouse API
P1,Scale AI,Frontier Agents Engineer,Agents / enterprise GenAI,Strong,A - AI systems,"Very strong: production AI agents, RAG/fine-tuning pipelines, enterprise integrations; matches existing tracker row.",https://job-boards.greenhouse.io/scaleai/jobs/4694861005,Scale AI Greenhouse API
P1,Cohere,"Forward Deployed Engineer, Agentic Platform",FDE / agentic platform,Strong,A - AI systems,Agentic workflows + enterprise LLM deployment; good overlap with Fabric + hospital AI infra.,https://jobs.ashbyhq.com/cohere/b0bcef37-1d20-414f-aade-c54942d63df9,Cohere Ashby API
P1,Cohere,Applied AI Engineer – Agentic Workflows,Applied AI / agents,Strong,A - AI systems,"Direct use of agentic workflows, RAG, enterprise productization; realistic compared with frontier research roles.",https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9,Cohere Ashby API
P1,Perplexity,"Member of Technical Staff (Forward Deployed Engineer, Applied AI)",FDE / applied AI search,Strong stretch,A - AI systems,Search + applied AI + FDE; legal retrieval and GraphRAG experience are useful here.,https://jobs.ashbyhq.com/perplexity/aa511ea8-96e3-42ba-b28f-5e222170bcee,Perplexity Ashby API
P1,Perplexity,"Member of Technical Staff (AI Software Engineer, Agents)",Agents / AI software,Strong stretch,A - AI systems,Agent systems and eval background make this a credible reach.,https://jobs.ashbyhq.com/perplexity/bc1a6878-8de9-48c2-a791-95b2f8f27261,Perplexity Ashby API
P1,Anysphere (Cursor),"Software Engineer, Agent Evaluation and Quality",AI devtools / evals,Strong,C - devtools/AI systems,Excellent: agent benchmarks/evaluation + devtools + Microsoft internal AI tooling.,https://jobs.ashbyhq.com/cursor/2bbe9f02-83a5-4173-98be-9085d1cb5693,Cursor Ashby API
P1,Anysphere (Cursor),"Software Engineer, Model Routing & Inference",Inference / AI devtools,Strong stretch,A - AI systems,"Model routing, inference, latency/cost tradeoffs; matches hospital LLM routing/serving and legal model benchmarking.",https://jobs.ashbyhq.com/cursor/45c815b0-5100-4934-8558-0e750b8aed79,Cursor Ashby API
P2,Figure AI,"Helix AI Engineer, Agentic Systems",Embodied AI / agents,Selective but aligned,A - AI systems,Strong thematic fit with embodied agents/spatial memory; likely high bar but worth custom app.,https://job-boards.greenhouse.io/figureai/jobs/4659175006,Figure AI Greenhouse API
P2,Figure AI,"Helix AI Engineer, Backend Infrastructure",Robotics AI infra,Selective but aligned,A - AI systems,Backend infra for robot AI stack; pitch Fabric/platform + embodied-agent research.,https://job-boards.greenhouse.io/figureai/jobs/4685172006,Figure AI Greenhouse API
P2,Together AI,Forward Deployed Engineer (Inference & Post-Training),Inference / post-training FDE,Strong,A - AI systems,Inference/post-training + customer engineering; very good AI infra role.,https://job-boards.greenhouse.io/togetherai/jobs/5131941007,Together AI Greenhouse API
P2,Together AI,Backend Software Engineer — Data Platform & AI Data Products,Backend AI/data platform,Strong,B - backend/cloud,Data platform + AI products; maps to Fabric SKU history/telemetry and GraphRAG pipelines.,https://job-boards.greenhouse.io/togetherai/jobs/5064263007,Together AI Greenhouse API
P2,xAI,"X Developer Platform – Forward Deployed Engineer, X API",FDE / platform API,Stretch,B - backend/cloud,"Developer platform/FDE angle, less directly AI-research but credible with backend + API story.",https://job-boards.greenhouse.io/xai/jobs/5136287007,xAI Greenhouse API
P2,xAI,Software Engineer - Data,Data / AI platform,Stretch,B - backend/cloud,"Data infra lane; use telemetry, RAG extraction pipelines, and Microsoft Fabric data contract work.",https://job-boards.greenhouse.io/xai/jobs/5124616007,xAI Greenhouse API
P2,Snowflake,Applied AI Engineer,Applied AI / data cloud,Strong,A - AI systems,Applied AI over enterprise data cloud; strong with Microsoft Fabric and healthcare LLM serving.,https://jobs.ashbyhq.com/snowflake/467250b0-43bc-47aa-91d5-6312687e4097,Snowflake Ashby API
P2,Databricks,AI Engineer - FDE (Forward Deployed Engineer),FDE / data+AI platform,Strong,A - AI systems,Probably the highest-realism frontier-adjacent target: data/AI platform + deployment + enterprise customers.,https://databricks.com/company/careers/open-positions/job?gh_jid=8503080002,Databricks Greenhouse API
